parameter_name,Radius
gene_accession_id,MGI:2385156
pvalue,0.1404865
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,b8k8f70qi0u0ez8
gene_symbol,Sdcbp2
