gene_symbol,Ift74
gene_accession_id,MGI:1914944
pvalue,0.06331521
parameter_name,Latency to center entry
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
analysis_id,w0qpgro58hmk15m
