analysis_id,00e062t2p287s96
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1332236
pvalue,0.8968571
gene_symbol,Cds2
parameter_name,Calcium
mouse_life_stage,Early adult
