parameter_name,Heart weight
analysis_id,zi97v51k4m9m0x4
parameter_id,IMPC_HWT_008_001
gene_symbol,F2
mouse_strain,C57BL
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
pvalue,0.871631
