analysis_id,45bfhe5686yv0c7
parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:1914515
pvalue,0.9701633
gene_symbol,Slc39a10
mouse_strain,C57BL
mouse_life_stage,E9.5
