analysis_id,68726c179jh7q74
pvalue,0.8332602
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
