analysis_id,fwvt601k0it5q0o
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
pvalue,0.951524
parameter_name,Whole arena resting time
gene_symbol,Sgip1
