parameter_name,LVIDd
gene_accession_id,MGI:2444113
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,303m44mpw92b974
parameter_id,IMPC_ECH_008_001
gene_symbol,Nemp2
pvalue,0.9359282
