analysis_id,l807i55e3017m0d
gene_accession_id,MGI:1918345
pvalue,0.6223446
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kif24
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
