mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
analysis_id,6tmk1on3a2157b4
pvalue,0.1861645
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_012_001
