parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Late adult
gene_symbol,FRMPD1
mouse_strain,C57BL
pvalue,0.3475413
gene_accession_id,MGI:2446274
analysis_id,7i05qz23tr28w7q
parameter_name,Alkaline phosphatase
