analysis_id,95hq28k370xra7h
gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_name,Distance travelled - total
pvalue,0.1740978
parameter_id,JAXLA_OFD_020_001
mouse_strain,C57BL
mouse_life_stage,Early adult
