gene_symbol,Stk35
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
pvalue,0.454133
analysis_id,5403xzp21t46v2c
