parameter_name,NK cell number
analysis_id,87kao58f4248da0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Col6a3
pvalue,0.4125864
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:88461
