parameter_id,IMPC_CAL_008_001
analysis_id,fr1fr9g3jwh29c3
parameter_name,Total food intake
mouse_life_stage,Early adult
pvalue,0.4094846
gene_accession_id,MGI:1927232
gene_symbol,Rab13
mouse_strain,C57BL
