parameter_id,IMPC_ECH_018_001
gene_symbol,Frmpd1
mouse_life_stage,Early adult
pvalue,0.7494873
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Respiration Rate
analysis_id,8qnux252877331c
