parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1336200
parameter_name,Thoracic processes
mouse_strain,C57BL
gene_symbol,HPCA
mouse_life_stage,Early adult
pvalue,0.4957253
analysis_id,c2awvvl218i1a23
