analysis_id,2f233p7y3rch787
mouse_life_stage,Early adult
gene_symbol,Kcng1
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
pvalue,0.1861886
gene_accession_id,MGI:3616086
mouse_strain,C57BL
