analysis_id,hze8cv4r6h9ed95
parameter_id,MGP_IMM_048_001
gene_accession_id,MGI:1339969
parameter_name,Follicular B cells - % of B2 cells
gene_symbol,Gja10
mouse_strain,C57BL
pvalue,0.3659121
mouse_life_stage,Early adult
