parameter_name,Limb grasping
analysis_id,983l89o6614kh46
pvalue,0.9459141
gene_accession_id,MGI:2673000
parameter_id,ESLIM_008_001_017
gene_symbol,Trim46
mouse_strain,C57BL
mouse_life_stage,Early adult
