mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Galnt13
pvalue,0.9775795
gene_accession_id,MGI:2139447
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
analysis_id,8u5u3803um38jw0
