analysis_id,mehdqal23pdq917
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.2437325
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
