gene_symbol,Rab13
Analysis_id,u0z4w5151d780l0
Parameter_name,Conditioning Baseline % Freezing Time
gene_accession_id,MGI:1927232
parameter_id,IMPC_FEA_003_001
Mouse_life_stage,Early adult
Pvalue,0.222933
Mouse_strain,C57BL
