parameter_name,Percent time in dark
pvalue,0.3868694
mouse_life_stage,Early adult
gene_symbol,Cntfr
mouse_strain,C57BL
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:99605
analysis_id,443cwb8wvdo9t22
