analysis_id,29l3qkkcb573573
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_name,KLRG1+ gd T cells - % of CD45+
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
pvalue,0.1626101
mouse_strain,C57BL
