parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
pvalue,0.8920524
gene_accession_id,MGI:95457
mouse_strain,C3H
mouse_life_stage,Early adult
analysis_id,jaa439resv8yku3
gene_symbol,Mecom
