analysis_id,bvc13jzi0l676aj
mouse_life_stage,Early adult
parameter_name,Haemoglobin
pvalue,0.07609378
parameter_id,ESLIM_016_001_003
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
