parameter_name,Narrow eye opening
mouse_life_stage,Early adult
analysis_id,84b7vyulos0v450
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
pvalue,0.9323363
gene_symbol,Psd4
gene_accession_id,MGI:2674093
