gene_symbol,Zc2hc1a
analysis_id,3iz7u0w3lo8u556
mouse_strain,C57BL
gene_accession_id,MGI:1914556
parameter_id,IMPC_ECG_010_001
parameter_name,HRV
mouse_life_stage,Early adult
pvalue,0.6105139
