parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:2448481
parameter_name,% Pre-pulse inhibition - PPI4
gene_symbol,Mgst2
mouse_life_stage,Early adult
analysis_id,2o69z390av5a5g6
pvalue,0.1344834
mouse_strain,C57BL
