parameter_name,Bone Mineral Content
mouse_strain,C57BL
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
mouse_life_stage,Early adult
analysis_id,r8557r568o4lct2
parameter_id,ESLIM_005_001_005
pvalue,0.2119859
