analysis_id,292nb35hej48i6e
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
pvalue,0.1214619
gene_symbol,Alkbh3
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
