analysis_id,2j1g3uro8efe0qr
pvalue,0.791089
gene_accession_id,MGI:2444114
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zcchc2
parameter_name,Lean mass
