analysis_id,40s809jphm26k4b
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_107_001
pvalue,0.7300036
mouse_strain,C57BL
gene_accession_id,MGI:95576
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_symbol,Fpgs
