analysis_id,9v195u48sf283ie
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:1924360
parameter_name,Prepulse inhibition - PP4
pvalue,0.6823867
mouse_strain,C52BL
