analysis_id,7c001772533hupj
parameter_name,Ventral coat/hair presence
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,129SV
gene_symbol,Cds2
pvalue,0.347554
parameter_id,MGP_CSD_025_001
