parameter_name,eye size
mouse_life_stage,Early adult
analysis_id,02d75i4m34v8xb3
pvalue,0.7968354
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
