gene_symbol,Atf3
pvalue,0.2915521
parameter_name,Eye
analysis_id,7i5f636c03a2lek
mouse_strain,C57BL
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
