analysis_id,287922i740ax364
mouse_strain,C57BL
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_life_stage,Early adult
pvalue,0.1575358
parameter_name,Heart weight
parameter_id,HMGULA_HWT_008_001
