gene_symbol,Mecom
parameter_id,IMPC_GEL_057_001
analysis_id,2jauah3ncu59v11
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,Heart looping
pvalue,0.5338
gene_accession_id,MGI:95457
