analysis_id,uu5381f6b68af83
gene_symbol,Sprr1b
pvalue,0.4951216
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:106659
parameter_name,cDCs CD11b Type
mouse_strain,C57BL
mouse_life_stage,Early adult
