parameter_name,Right kidney weight
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.6007301
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1328306
analysis_id,l7jxt9282v47o5l
gene_symbol,Orc2
