parameter_name,Total protein
mouse_strain,C57BL
pvalue,0.6584376
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
parameter_id,IMPC_CBC_006_001
analysis_id,wiw6z982tu5pp0j
gene_symbol,Slx4ip
