analysis_id,447554013398351
pvalue,0.6414258
parameter_id,JAXLA_CSD_021_001
gene_symbol,Trp53i11
mouse_strain,C57BL
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_name,Hindlimbs - shape
