parameter_name,Center average speed
parameter_id,JAX_OFD_017_001
pvalue,0.2315127
analysis_id,t19o571u4f09ioi
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Nanp
