analysis_id,9kw7307e1jfb04e
gene_symbol,Ivd
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_059_001
gene_accession_id,MGI:1929242
mouse_strain,C57BL
parameter_name,Mean right eye lens density
pvalue,0.1523676
