parameter_name,HR
gene_symbol,Wars2
analysis_id,7024cr1rh8sk0m1
gene_accession_id,MGI:1917810
parameter_id,IMPC_ECG_002_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.7596398
