analysis_id,50d6kctemo479lo
gene_symbol,Mecom
mouse_life_stage,E12.5
pvalue,0.7259331
parameter_name,B2B Cells
mouse_strain,C57BL
gene_accession_id,MGI:95457
parameter_id,IMPC_IMM_065_001
