parameter_id,JAXLA_HBD_001_001
gene_symbol,Rab3gap2
pvalue,0.9950994
gene_accession_id,MGI:1916043
analysis_id,gqr24ls2q8pe9zz
mouse_strain,C57BL
parameter_name,Total holepokes
mouse_life_stage,Early adult
