analysis_id,a7t173whn6ki2ja
pvalue,0.9734824
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
