parameter_name,Mean cell hemoglobin concentration
pvalue,0.4330361
mouse_strain,C57BL
analysis_id,5gov0wy4ayb83z8
gene_symbol,Bcs1l
parameter_id,IMPC_HEM_007_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
