analysis_id,6wwq605e212809z
pvalue,0.8837851
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_strain,129SV
