gene_symbol,Ntmt2
pvalue,0.7941047
gene_accession_id,MGI:2685053
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
analysis_id,7w62eko0dl3mnr7
mouse_life_stage,Early adult
