parameter_name,Tremor
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
analysis_id,rwa8u01i2g2c95x
pvalue,0.468629
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
mouse_life_stage,Early adult
