gene_symbol,Ahcy
gene_accession_id,MGI:87968
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
pvalue,0.4456667
mouse_strain,C57BL
analysis_id,i11x8wqs5r4dslz
mouse_life_stage,E9.5
