analysis_id,72mid7o3c911z25
gene_symbol,Lurap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
parameter_name,Resting NK cells - % of CD45+
parameter_id,MGP_IMM_100_001
pvalue,0.6122543
mouse_strain,C57BL
