gene_symbol,Tatdn3
analysis_id,x8e180oc5s3ai7w
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1916222
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8112214
