analysis_id,214m3wyobg1b749
gene_accession_id,MGI:99915
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
parameter_name,Retina (combined)
gene_symbol,Lamb3
pvalue,0.5160029
mouse_strain,C57BL
