analysis_id,r8r2k9ty5i788j9
gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.4484525
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
