analysis_id,m05c6j0v90829f9
mouse_life_stage,Early adult
pvalue,0.9325636
gene_accession_id,MGI:1919137
parameter_name,Periphery permanence time
gene_symbol,Ppm1j
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
