analysis_id,1urrhk1i7x53182
parameter_id,ESLIM_004_001_701
gene_symbol,Hrnr
parameter_name,Glucose response AUC
pvalue,0.4729385
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
