parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1933159
pvalue,0.05337556
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,zi56dy1488s6x4p
gene_symbol,Rnf114
parameter_name,Breath rate during sleep mean
