gene_symbol,Arnt
parameter_name,Effector CD8+ T cells - % of CD8+
analysis_id,vs6j9jw47p43k54
pvalue,0.5644948
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
parameter_id,MGP_IMM_014_001
mouse_strain,C57BL
