parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,E9.5
pvalue,0.8156669
gene_symbol,Cdin1
analysis_id,8am527z9j5rd080
mouse_strain,C57BL
gene_accession_id,MGI:3026886
